time,yaw,pitch,roll
9.17512.51
9.193-8.79,-4.02,-2.51
9.221-8.79,-4.02,-2.51
9.238-8.44,75.91,-6.98
9.255-7.57,75.37,-8.39
9.271-7.18,74.85,-9.57
9.289-6.94,74.42,-10.51
9.305-6.17,74.09,-11.21
9.321-5.39,73.84,-11.71
9.338-5.14,73.72,-11.95
9.354-5.22,73.75,-11.94
9.372-5.14,73.88,-11.73
9.388-4.84,74.09,-11.34
9.404-4.55,74.35,-10.82
9.421-4.43,74.59,-10.25
9.44-4.37,74.79,-9.67
9.454-4.63,74.91,-9.11
9.472-5.32,74.99,-8.57
9.488-6.06,75.02,-8.08
9.505-7.14,75.04,-7.62
9.521-8.51,75.07,-7.12
9.538-9.58,75.10,-6.56
9.555-10.31,75.09,-5.94
9.572-10.93,75.03,-5.25
9.588-11.70,74.93,-4.49
9.605-12.83,74.79,-3.60
9.621-14.15,74.63,-2.57
9.638-15.25,74.42,-1.45
9.655-15.87,74.10,-0.30
9.672-16.30,73.60,0.85
9.688-16.74,72.93,2.00
9.706-17.06,72.13,3.12
9.721-17.13,71.28,4.17
9.739-17.11,70.40,5.15
9.755-17.05,69.55,6.06
9.771-16.92,68.76,6.93
9.788-16.74,68.01,7.75
9.806-16.51,67.27,8.55
9.821-16.17,66.53,9.34
9.838-15.73,65.77,10.14
9.855-15.18,65.00,10.97
9.871-14.78,64.24,11.83
9.888-14.49,63.42,12.75
9.904-13.98,62.58,13.60
9.921-13.23,61.85,14.28
9.937-12.49,61.38,14.80
9.954-11.92,61.22,15.11
9.971-11.60,61.37,15.14
9.988-11.53,61.83,14.84
10.005-11.53,62.53,14.18
10.021-11.46,63.43,13.23
10.037-11.26,64.48,12.07
10.054-10.63,65.70,10.70
10.071-9.49,66.95,9.12
10.088-8.45,68.08,7.45
10.104-8.01,68.99,5.79
10.121-8.32,69.67,4.21
10.138-9.44,70.09,2.78
10.154-11.12,70.25,1.63
10.171-12.80,70.13,0.88
10.188-14.15,69.70,0.62
10.204-15.21,68.99,1.00
10.221-16.13,68.07,2.04
10.238-16.88,66.94,3.66
10.255-17.21,65.55,5.72
10.271-16.92,63.84,8.17
10.289-15.98,61.87,10.80
10.304-14.51,59.81,13.47
10.321-12.79,57.83,16.05
10.337-11.05,56.01,18.49
10.354-9.28,54.26,20.73
10.372-7.42,52.51,22.80
10.388-5.65,50.82,24.83
10.404-3.98,49.27,26.81
10.422-2.17,47.88,28.54
10.438-0.53,46.79,29.84
10.4550.57,46.02,30.75
10.4721.00,45.58,31.26
10.4891.02,45.46,31.40
10.5050.82,45.57,31.25
10.5220.51,45.87,30.93
10.5390.23,46.27,30.50
10.5550.06,46.72,29.99
10.5710.05,47.22,29.44
10.5880.16,47.74,28.92
10.6050.29,48.28,28.48
10.6210.37,48.84,28.06
10.6380.33,49.46,27.56
10.6550.11,50.12,26.95
10.671-0.23,50.74,26.28
10.688-0.51,51.31,25.53
10.704-0.56,51.84,24.71
10.721-0.47,52.31,23.81
10.738-0.64,52.72,22.96
10.755-1.23,53.02,22.23
10.772-1.89,53.17,21.56
10.787-2.23,53.19,20.88
10.804-2.04,53.07,20.10
10.822-1.30,52.81,19.14
10.838-0.46,52.39,18.07
10.855-0.14,51.87,17.06
10.871-0.71,51.30,16.32
10.889-1.83,50.74,15.79
10.906-2.99,50.17,15.30
10.921-4.03,49.62,14.78
10.938-4.96,49.10,14.30
10.955-5.74,48.58,13.86
10.971-6.33,48.06,13.46
10.988-6.66,47.57,13.03
11.005-6.74,47.13,12.53
11.021-6.65,46.75,12.01
11.039-6.43,46.44,11.50
11.055-6.02,46.17,10.93
11.071-5.43,45.87,10.28
11.088-4.91,45.57,9.65
11.105-4.72,45.25,9.25
11.121-4.75,44.91,9.09
11.138-4.75,44.53,9.01
11.155-4.68,44.11,8.99
11.171-4.55,43.68,9.05
11.189-4.38,43.25,9.16
11.204-4.22,42.84,9.32
11.221-4.04,42.45,9.48
11.239-3.85,42.09,9.61
11.254-3.71,41.77,9.73
11.271-3.64,41.47,9.86
11.287-3.63,41.21,9.99
11.304-3.67,40.98,10.11
11.322-3.70,40.78,10.20
11.338-3.70,40.62,10.22
11.355-3.69,40.51,10.22
11.371-3.69,40.42,10.21
11.388-3.78,40.36,10.25
11.405-3.92,40.31,10.34
11.422-4.05,40.29,10.42
11.438-4.15,40.27,10.45
11.455-4.23,40.26,10.44
11.471-4.28,40.23,10.40
11.488-4.31,40.19,10.36
11.505-4.36,40.13,10.35
11.521-4.41,40.07,10.39
11.538-4.47,40.02,10.45
11.555-4.51,39.96,10.49
11.571-4.54,39.88,10.50
11.588-4.57,39.80,10.53
11.605-4.58,39.71,10.57
11.622-4.57,39.61,10.61
11.638-4.58,39.52,10.67
11.655-4.60,39.42,10.75
11.671-4.67,39.31,10.85
11.688-4.75,39.20,10.96
11.704-4.86,39.09,11.08
11.721-4.99,38.99,11.24
11.738-5.13,38.90,11.42
11.754-5.25,38.81,11.59
11.771-5.35,38.74,11.74
11.788-5.47,38.68,11.87
11.804-5.64,38.63,11.99
11.821-5.81,38.58,12.06
11.837-5.93,38.53,12.08
11.854-6.01,38.49,12.04
11.872-6.07,38.48,12.01
11.888-6.14,38.50,11.99
11.905-6.19,38.54,11.94
11.922-6.23,38.59,11.88
11.938-6.26,38.63,11.82
11.955-6.25,38.68,11.75
